timestamp,latitude,longitude,temperatura,umidade,pressao,vento,chuva,luminosidade,indice_vegetacao,risco_codigo,risco,risco_modelo_codigo,risco_modelo,risco_regra_codigo,risco_regra,anomalia,confianca_percentual,recomendacao
2026-06-09T17:34:58.732256,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:35:04.120357,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:35:09.399539,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:35:14.650383,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:35:20.140419,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:35:25.416798,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:35:30.739362,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:35:36.007033,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:35:41.328597,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:35:46.659829,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:35:51.929200,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:35:57.205298,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:36:02.471226,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:36:07.706634,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:36:13.077825,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:36:18.418651,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:36:23.957734,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:36:29.429653,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:36:34.804434,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:36:40.367642,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:36:45.750451,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:36:51.142374,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:36:56.459925,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:37:01.842105,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:37:07.110983,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:37:12.395741,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:37:17.755435,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:37:23.142482,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:37:28.412677,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:37:33.858982,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:37:39.196417,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
2026-06-09T17:37:44.392929,-23.71,-46.41,39.5,18.0,998.0,28.0,0.5,940.0,0.18,3,Crítico,1,Atenção,3,Crítico,True,80.8,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:37:49.647471,-23.71,-46.41,24.0,92.0,985.0,72.0,48.0,180.0,0.58,3,Crítico,1,Atenção,3,Crítico,True,81.6,"Condição crítica detectada. Recomenda-se acionar plano de resposta, monitorar a região em tempo real e priorizar medidas preventivas."
2026-06-09T17:37:54.843749,-23.71,-46.41,25.0,65.0,1013.0,12.0,2.0,550.0,0.65,0,Normal,0,Normal,0,Normal,False,98.36,Condição ambiental dentro do padrão. Manter monitoramento contínuo.
2026-06-09T17:38:00.203613,-23.71,-46.41,32.0,38.0,1008.0,30.0,5.0,760.0,0.42,1,Atenção,1,Atenção,1,Atenção,False,99.6,Condição de atenção detectada. Recomenda-se acompanhar a evolução dos sensores e verificar tendência dos dados.
