timestamp,latitude,longitude,temperatura,umidade,pressao,vento,chuva,luminosidade,indice_vegetacao,risco_label
2025-12-11 16:21:42.825278,-16.891095840342313,-36.232142339752095,31.89,90.46,1009.19,1.08,16.09,607.86,0.866,1
2025-12-11 17:21:42.825278,-29.279542699646914,-35.752253695950145,32.6,50.61,1018.51,3.61,1.62,693.55,0.167,1
2025-12-11 18:21:42.825278,-14.881924347525949,-52.71927149504895,21.92,66.28,1001.1,10.96,12.3,395.79,0.564,0
2025-12-11 19:21:42.825278,-9.265490089828514,-58.83873968200005,19.45,36.98,1016.51,1.21,23.79,541.89,0.492,1
2025-12-11 20:21:42.825278,-6.051844072074509,-48.99618765650997,27.92,38.85,1021.87,6.72,5.87,430.25,0.284,1
2025-12-11 21:21:42.825278,3.935461971759551,-40.62167941597214,29.18,74.77,1014.06,1.67,1.75,629.18,0.49,0
2025-12-11 22:21:42.825278,-16.39629486086813,-53.2162742056526,25.24,81.14,1016.12,2.73,12.96,332.65,0.415,0
2025-12-11 23:21:42.825278,-29.806725900673918,-39.613464288629146,31.67,80.62,1023.18,26.55,0.62,498.94,0.488,1
2025-12-12 00:21:42.825278,0.20861990564577226,-44.41754682931105,25.12,56.29,998.72,23.54,8.12,434.68,0.536,0
2025-12-12 01:21:42.825278,-25.81420139215944,-42.16888031942513,34.02,67.23,1030.46,26.53,5.45,178.45,0.714,1
2025-12-12 02:21:42.825278,-29.11033056395667,-57.302714325167386,28.52,54.02,1013.1,42.86,2.29,292.24,0.846,1
2025-12-12 03:21:42.825278,-21.992064207793213,-58.075502254280174,24.89,43.83,1005.98,47.79,13.21,814.77,0.616,1
2025-12-12 04:21:42.825278,-1.871477308530995,-55.335748527849105,28.58,79.37,1003.58,4.66,4.46,591.02,0.609,0
2025-12-12 05:21:42.825278,-29.756675431408325,-47.231317435560854,29.57,31.69,1006.95,2.3,3.3,620.97,0.631,1
2025-12-12 06:21:42.825278,-11.842328238982187,-42.42452602762056,29.55,58.51,988.97,6.03,0.3,645.23,0.562,0
